0.3,0.15,0,0
0.3,-0.15,0,4
-0.3,0.15,0,8
-0.3,-0.15,0,12

0.3,0.15,0,16
-0.3,0.15,0,20
0.3,-0.15,0,24
-0.3,-0.15,0,28

0.3,0.15,0,32
0.3,0.15,0,34
0.3,-0.15,0,36
0.3,-0.15,0,38
-0.3,0.15,0,40
-0.3,0.15,0,42
-0.3,-0.15,0,44
-0.3,-0.15,0,46

0.3,0.15,0,48
0.3,0.15,0,50
-0.3,0.15,0,52
-0.3,0.15,0,54
0.3,-0.15,0,56
0.3,-0.15,0,58
-0.3,-0.15,0,60
-0.3,-0.15,0,62

0.3,0.15,4,64

0.3,0.15,0,80
0.3,0,0,82
-0.3,0.15,0,84
-0.3,0,0,86
0.3,-0.15,0,88
0.3,0,0,90
-0.3,-0.15,0,92
-0.3,0,0,94

0.1,0,0,568/6
-0.1,0,0,573/6

0.3,0.15,0,96
0,0,0,98
0.3,-0.15,0,100
0.3,0.15,0,102
-0.3,0.15,0,104
0,0,0,106
-0.3,-0.15,0,108
-0.3,0.15,0,110

-0.15,0.15,0,114
0,0.15,0,115
0.15,0.15,0,116
0.3,0,0,117
0.15,-0.15,0,118
0,-0.15,0,119
-0.15,-0.15,0,120
-0.3,0,0,121

-0.15,0.15,0,122
0,0.15,0,123
0.15,0.15,0,124
-0.3,0,0,125
0.15,-0.15,0,126
0,-0.15,0,127
-0.15,-0.15,0,128
0.3,0,0,129

0.15,0,0,130
0.3,0.15,0,131
0,0.15,0,132
0,0,0,133
-0.15,0,0,134
-0.3,-0.15,0,135
0,-0.15,0,136
0,0,0,137

0.15,0,0,138
0.3,-0.15,0,139
0,-0.15,0,140
0,0,0,141
-0.15,0,0,142
-0.3,0.15,0,143
0,0.15,0,144
0,0,0,145

-0.3,0.15,0,146.5
-0.15,0,0,147.5
0,0.15,0,148.5
0.15,0,0,149.5
0.3,-0,0,150.5
0.15,-0.15,0,151.5
0,-0,0,152.5
-0.15,-0.15,0,153.5

-0.3,-0.05,0,154.5
-0.15,-0.05,0,155.5
-0.15,-0.15,0,156.5
0.3,-0.15,0,157.5
0.3,-0.05,0,158.5
0.3,0.05,0,159.5
0.3,0.15,0,160.5
-0.15,0.15,0,161.5

-0.3,0.15,0,162.5
-0.15,0.05,0,163.5
0,0.05,0,164.5
0.15,0.15,0,165.5
0.3,-0.05,0,166.5
0.15,-0.15,0,167.5
0,-0.05,0,168.5
-0.15,-0.15,0,169.5

-0.3,-0.05,0,170.5
-0.15,-0.05,0,171.5
-0.3,-0.15,0,172.5
0.3,-0.15,0,173.5
0.3,-0.05,0,174.5
0.3,0.05,0,175.5
0.3,-0.15,0,176.5
-0.15,0.15,0,177.5

0,0.15,2,178
